index,group,title,length,frame_hex,payload_hex
0,,0xF6,15,0F 00 F6 30 33 37 39 30 36 30 32 34 41 47 20 03,30 33 37 39 30 36 30 32 34 41 47 20
1,,0xF6,27,1B 02 F6 44 49 47 49 46 41 4E 54 20 31 2E 37 20 20 20 20 20 20 20 20 31 35 37 36 03,44 49 47 49 46 41 4E 54 20 31 2E 37 20 20 20 20 20 20 20 20 31 35 37 36
2,,0xF6,10,0A 04 F6 50 4D 43 20 20 20 20 03,50 4D 43 20 20 20 20
3,,0x09,3,03 06 09 03,
4,,0xF4,13,0D 08 F4 37 92 09 3E 89 00 00 25 05 CC 03,37 92 09 3E 89 00 00 25 05 CC
5,,0x09,3,03 0A 09 03,
6,1,0x02,49,31 0C 02 8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00 85 02 00 88 FF 00 03,8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00 85 02 00 88 FF 00
7,1,0xF4,7,07 0E F4 CB 09 53 00 03,CB 09 53 00
8,1,0x09,3,03 10 09 03,
9,2,0x02,49,31 12 02 8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 89 32 00 85 18 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00 03,8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 89 32 00 85 18 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00
10,2,0xF4,7,07 14 F4 CE 05 92 37 03,CE 05 92 37
11,2,0x09,3,03 16 09 03,
12,3,0x02,32,20 18 02 8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 81 64 00 84 02 00 81 64 00 03,8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 81 64 00 84 02 00 81 64 00
13,3,0xF4,7,07 1A F4 CC 3B 00 70 03,CC 3B 00 70
14,3,0x09,3,03 1C 09 03,
15,4,0x02,32,20 1E 02 8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 81 64 00 87 01 00 88 FF 00 03,8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 81 64 00 87 01 00 88 FF 00
16,4,0xF4,7,07 20 F4 CD 3A FF 40 03,CD 3A FF 40
17,4,0xF4,13,0D 22 F4 37 92 09 3B 8C 00 00 25 05 CD 03,37 92 09 3B 8C 00 00 25 05 CD
18,4,0x09,3,03 24 09 03,
19,1,0x02,49,31 26 02 8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00 85 02 00 88 FF 00 03,8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00 85 02 00 88 FF 00
20,1,0xF4,7,07 28 F4 CE 09 40 00 03,CE 09 40 00
21,1,0x09,3,03 2A 09 03,
22,2,0x02,49,31 2C 02 8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 89 32 00 85 18 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00 03,8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 89 32 00 85 18 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00
23,2,0xF4,7,07 2E F4 CD 05 92 36 03,CD 05 92 36
24,2,0x09,3,03 30 09 03,
25,3,0x02,32,20 32 02 8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 81 64 00 84 02 00 81 64 00 03,8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 81 64 00 84 02 00 81 64 00
26,3,0xF4,7,07 34 F4 CD 3A 00 6E 03,CD 3A 00 6E
27,3,0x09,3,03 36 09 03,
28,4,0x02,32,20 38 02 8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 81 64 00 87 01 00 88 FF 00 03,8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 81 64 00 87 01 00 88 FF 00
29,4,0xF4,7,07 3A F4 CF 3A FF 40 03,CF 3A FF 40
30,4,0xF4,13,0D 3C F4 36 92 09 3A 88 00 00 25 05 CD 03,36 92 09 3A 88 00 00 25 05 CD
31,4,0x09,3,03 3E 09 03,
32,1,0x02,49,31 40 02 8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00 85 02 00 88 FF 00 03,8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00 85 02 00 88 FF 00
33,1,0xF4,7,07 42 F4 CE 09 1C 00 03,CE 09 1C 00
34,1,0x09,3,03 44 09 03,
35,2,0x02,49,31 46 02 8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 89 32 00 85 18 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00 03,8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 89 32 00 85 18 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00
36,2,0xF4,7,07 48 F4 8D 04 94 36 03,8D 04 94 36
37,2,0x09,3,03 4A 09 03,
38,3,0x02,32,20 4C 02 8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 81 64 00 84 02 00 81 64 00 03,8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 81 64 00 84 02 00 81 64 00
39,3,0xF4,7,07 4E F4 7B 62 0F 69 03,7B 62 0F 69
40,3,0x09,3,03 50 09 03,
41,4,0x02,32,20 52 02 8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 81 64 00 87 01 00 88 FF 00 03,8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 81 64 00 87 01 00 88 FF 00
42,4,0xF4,7,07 54 F4 7B 62 FF 20 03,7B 62 FF 20
43,4,0xF4,13,0D 56 F4 36 92 08 62 8B 00 00 70 03 79 03,36 92 08 62 8B 00 00 70 03 79
44,4,0x09,3,03 58 09 03,
45,1,0x02,49,31 5A 02 8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00 85 02 00 88 FF 00 03,8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00 85 02 00 88 FF 00
46,1,0xF4,7,07 5C F4 7A 08 57 06 03,7A 08 57 06
47,1,0x09,3,03 5E 09 03,
48,2,0x02,49,31 60 02 8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 89 32 00 85 18 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00 03,8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 89 32 00 85 18 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00
49,2,0xF4,7,07 62 F4 7C 03 92 36 03,7C 03 92 36
50,2,0x09,3,03 64 09 03,
51,3,0x02,32,20 66 02 8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 81 64 00 84 02 00 81 64 00 03,8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 81 64 00 84 02 00 81 64 00
52,3,0xF4,7,07 68 F4 75 6A 10 70 03,75 6A 10 70
53,3,0x09,3,03 6A 09 03,
54,4,0x02,32,20 6C 02 8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 81 64 00 87 01 00 88 FF 00 03,8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 81 64 00 87 01 00 88 FF 00
55,4,0xF4,7,07 6E F4 7F 48 FF 20 03,7F 48 FF 20
56,4,0xF4,13,0D 70 F4 37 92 08 47 76 00 00 4A 03 98 03,37 92 08 47 76 00 00 4A 03 98
57,4,0x09,3,03 72 09 03,
58,1,0x02,49,31 74 02 8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00 85 02 00 88 FF 00 03,8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00 85 02 00 88 FF 00
59,1,0xF4,7,07 76 F4 A7 08 27 00 03,A7 08 27 00
60,1,0x09,3,03 78 09 03,
61,2,0x02,49,31 7A 02 8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 89 32 00 85 18 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00 03,8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 89 32 00 85 18 00 8C 28 11 A0 64 50 44 3A 32 2C 26 21 1B 16 10 0B 04 00 00 00
62,2,0xF4,7,07 7C F4 CF 04 92 36 03,CF 04 92 36
63,2,0x09,3,03 7E 09 03,
64,3,0x02,32,20 80 02 8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 81 64 00 84 02 00 81 64 00 03,8B 1A 11 FA E1 E0 BC AD 96 84 75 61 53 48 39 28 1F 19 12 00 81 64 00 84 02 00 81 64 00
65,3,0xF4,7,07 82 F4 D1 35 00 65 03,D1 35 00 65
