kind,event_subtype,timestamp_us,sequence,validity,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_mdps,gyro_y_mdps,gyro_z_mdps,payload_length,g000_z0_raw,g000_z1_raw,g000_z2_raw,g000_z3_raw,g000_z4_raw,g000_z5_raw,g000_z6_raw,g000_z7_raw,g000_z8_raw,g000_z9_raw,g001_z1_raw,g001_z2_raw,g001_z3_raw,g001_z4_raw,g002_z1_raw,g002_z2_raw,g002_z3_raw,g002_z4_raw,g003_z1_raw,g003_z2_raw,g003_z3_raw,g003_z4_raw,g004_z1_raw,g004_z2_raw,g004_z3_raw,g004_z4_raw
IMU_ORIENTATION,,80838060,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
START,,80838060,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,80862531,1749,7,-38,193,-970,244,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,80988538,1750,7,-38,196,-969,183,183,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,,80994508,100,,,,,,,,1112,66,148,56,32,163,32,128,36,24,240,255,56,60,0,255,24,148,66,255,0,0,145,255,0,255,32
IMU_SAMPLE,,81022527,1751,7,-37,194,-971,183,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,81142403,1752,7,-37,196,-971,122,0,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,81182527,1753,7,-39,196,-974,244,122,-244,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,81222527,1754,7,-37,194,-974,305,244,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,81262527,1755,7,-37,195,-972,244,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,81302528,1756,7,-37,194,-973,305,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,81342527,1757,7,-37,195,-971,366,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,81382527,1758,7,-37,192,-971,183,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,81422527,1759,7,-37,196,-972,183,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,,81427804,101,,,,,,,,1112,66,148,56,32,163,32,128,36,24,240,255,56,60,0,255,24,147,66,255,0,0,145,255,0,255,32
IMU_SAMPLE,,81536965,1760,7,-37,198,-972,244,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,81542527,1761,5,0,0,0,122,0,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,81582527,1762,7,-39,196,-973,183,183,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,81691269,1763,7,-39,195,-972,183,122,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,,81698134,102,,,,,,,,1112,66,148,56,32,163,32,128,36,24,240,255,56,60,0,255,24,147,66,255,0,0,145,255,0,255,32
IMU_SAMPLE,,81702535,1764,7,-39,195,-973,183,-61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,81742536,1765,7,-38,194,-973,244,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,81846038,1766,7,-37,197,-974,183,61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,81862536,1767,7,-39,196,-973,122,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,81902535,1768,7,-37,193,-971,244,61,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,81942535,1769,7,-38,195,-972,183,-122,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,81982535,1770,7,-38,196,-973,122,-122,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,82022535,1771,7,-39,194,-971,183,122,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,82062535,1772,7,-37,196,-971,61,0,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,82102535,1773,7,-37,196,-973,244,122,-244,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,82142535,1774,7,-39,194,-970,183,244,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,82182535,1775,7,-38,195,-970,122,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,82222535,1776,7,-37,195,-974,183,0,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,82262535,1777,7,-39,195,-972,183,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,82302536,1778,7,-38,195,-973,183,61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,82342535,1779,7,-37,195,-974,244,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,82382535,1780,7,-40,195,-971,244,183,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,82422535,1781,7,-39,195,-972,305,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,82462535,1782,7,-37,196,-973,122,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,82502535,1783,7,-38,196,-972,122,183,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,82542535,1784,7,-39,194,-972,183,122,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
