kind,timestamp_us,sequence,validity,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_mdps,gyro_y_mdps,gyro_z_mdps,payload_length,g000_z0_raw,g000_z1_raw,g000_z2_raw,g000_z3_raw,g000_z4_raw,g000_z5_raw,g000_z6_raw,g000_z7_raw,g000_z8_raw,g000_z9_raw,g001_z1_raw,g001_z2_raw,g001_z3_raw,g001_z4_raw,g002_z1_raw,g002_z2_raw,g002_z3_raw,g002_z4_raw,g003_z1_raw,g003_z2_raw,g003_z3_raw,g003_z4_raw,g004_z1_raw,g004_z2_raw,g004_z3_raw,g004_z4_raw
IMU_ORIENTATION,86260534,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
START,86260534,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,86380625,1865,7,-44,162,-986,122,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,86406693,1866,7,-43,163,-988,122,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,86535047,1867,7,-44,164,-987,122,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,86566687,1868,7,-45,164,-987,61,61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,86606498,1869,7,-44,163,-988,61,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,86646498,1870,7,-45,164,-988,122,122,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,86686498,1871,7,-46,165,-983,122,183,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,86726498,1872,7,-45,164,-990,122,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,86766498,1873,7,-44,163,-989,61,122,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,86806498,1874,7,-43,163,-984,183,122,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,86846498,1875,7,-46,163,-990,183,-122,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,86886498,1876,7,-45,164,-989,61,183,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,86926498,1877,7,-42,163,-986,61,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,86966498,1878,7,-44,163,-988,61,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,87006498,1879,7,-45,164,-987,183,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,87046498,1880,7,-45,164,-988,61,244,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,87086498,1881,7,-46,162,-986,122,122,122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,87126498,1882,7,-44,164,-988,61,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,87166498,1883,7,-46,164,-989,0,183,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,87206498,1884,7,-46,163,-985,61,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,87246498,1885,7,-45,163,-987,61,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,87286498,1886,7,-45,164,-988,122,-61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,87326498,1887,7,-45,164,-988,0,122,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,87366498,1888,7,-44,164,-985,61,183,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,87406498,1889,7,-46,163,-987,122,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,87446498,1890,7,-43,163,-988,61,0,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,87486498,1891,7,-44,164,-988,61,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,87526498,1892,7,-44,165,-986,0,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,87566498,1893,7,-43,164,-989,61,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
